Unit,Data,Size,Technology,Range,Fuel type,value
kWh/100km,Fuel consumption,Car,BEV,100,Electricity,20.84175701
kWh/100km,Fuel consumption,Car,BEV,300,Electricity,24.73831541
kWh/100km,Fuel consumption,Car,PHEV,10,Electricity,13.84105573
kWh/100km,Fuel consumption,Car,PHEV,20,Electricity,13.36980782
kWh/100km,Fuel consumption,Car,PHEV,30,Electricity,20.99669181
kWh/100km,Fuel consumption,Car,PHEV,40,Electricity,21.26673973
L/100km,Fuel consumption,Car,PHEV,10,Gasoline,6.431587187
L/100km,Fuel consumption,Car,PHEV,20,Gasoline,6.570330582
L/100km,Fuel consumption,Car,PHEV,30,Gasoline,6.588997361
L/100km,Fuel consumption,Car,PHEV,40,Gasoline,6.629343337
kWh/100km,Fuel consumption,SUV,BEV,100,Electricity,21.52997607
kWh/100km,Fuel consumption,SUV,BEV,300,Electricity,28.54745235
kWh/100km,Fuel consumption,SUV,PHEV,10,Electricity,13.48483705
kWh/100km,Fuel consumption,SUV,PHEV,20,Electricity,14.16435914
kWh/100km,Fuel consumption,SUV,PHEV,30,Electricity,21.66286245
kWh/100km,Fuel consumption,SUV,PHEV,40,Electricity,21.87556242
L/100km,Fuel consumption,SUV,PHEV,10,Gasoline,8.195546888
L/100km,Fuel consumption,SUV,PHEV,20,Gasoline,8.352775632
L/100km,Fuel consumption,SUV,PHEV,30,Gasoline,8.572379018
L/100km,Fuel consumption,SUV,PHEV,40,Gasoline,8.688487885
kWh/100km,Fuel consumption,PUT,BEV,100,Electricity,22.54498227
kWh/100km,Fuel consumption,PUT,BEV,300,Electricity,29.89328948
kWh/100km,Fuel consumption,PUT,PHEV,10,Electricity,15.42007873
kWh/100km,Fuel consumption,PUT,PHEV,20,Electricity,16.20962926
kWh/100km,Fuel consumption,PUT,PHEV,30,Electricity,24.72567491
kWh/100km,Fuel consumption,PUT,PHEV,40,Electricity,24.82570147
L/100km,Fuel consumption,PUT,PHEV,10,Gasoline,9.627358331
L/100km,Fuel consumption,PUT,PHEV,20,Gasoline,9.807238973
L/100km,Fuel consumption,PUT,PHEV,30,Gasoline,10.19744255
L/100km,Fuel consumption,PUT,PHEV,40,Gasoline,10.36829782
