"Data","Unit","LWscen","Size","Technology","Fuel type","Year","value"
"Absolute fuel consumption improvement","L/100km","BAU","Car","ICEV-G","E10",2016,0
"Absolute fuel consumption improvement","L/100km","BAU","Car","ICEV-G","E10",2017,0.0466007452572099
"Absolute fuel consumption improvement","L/100km","BAU","Car","ICEV-G","E10",2018,-0.0940841698065661
"Absolute fuel consumption improvement","L/100km","BAU","Car","ICEV-G","E10",2019,-0.142510073350126
"Absolute fuel consumption improvement","L/100km","BAU","Car","ICEV-G","E10",2020,-0.145329455362249
"Absolute fuel consumption improvement","L/100km","BAU","Car","ICEV-G","E10",2021,-0.162123310387627
"Absolute fuel consumption improvement","L/100km","BAU","Car","ICEV-G","E10",2022,-0.161133013526928
"Absolute fuel consumption improvement","L/100km","BAU","Car","ICEV-G","E10",2023,-0.28506618912451
"Absolute fuel consumption improvement","L/100km","BAU","Car","ICEV-G","E10",2024,-0.173345890600346
"Absolute fuel consumption improvement","L/100km","BAU","Car","ICEV-G","E10",2025,-0.302211657421239
"Absolute fuel consumption improvement","L/100km","BAU","Car","ICEV-G","E10",2026,-0.00123271850426249
"Absolute fuel consumption improvement","L/100km","BAU","Car","ICEV-G","E10",2027,-0.00970609094526133
"Absolute fuel consumption improvement","L/100km","BAU","Car","ICEV-G","E10",2028,0.00577869691826919
"Absolute fuel consumption improvement","L/100km","BAU","Car","ICEV-G","E10",2029,0.0112545818208824
"Absolute fuel consumption improvement","L/100km","BAU","Car","ICEV-G","E10",2030,0.0152351812088639
"Absolute fuel consumption improvement","L/100km","BAU","Car","ICEV-G","E10",2031,0.0159202159604915
"Absolute fuel consumption improvement","L/100km","BAU","Car","ICEV-G","E10",2032,0.0193141006485203
"Absolute fuel consumption improvement","L/100km","BAU","Car","ICEV-G","E10",2033,0.0198527060312776
"Absolute fuel consumption improvement","L/100km","BAU","Car","ICEV-G","E10",2034,0.0196367064364781
"Absolute fuel consumption improvement","L/100km","BAU","Car","ICEV-G","E10",2035,0.019523751145808
"Absolute fuel consumption improvement","L/100km","BAU","Car","ICEV-G","E10",2036,0.0194961079932138
"Absolute fuel consumption improvement","L/100km","BAU","Car","ICEV-G","E10",2037,0.0187957605859221
"Absolute fuel consumption improvement","L/100km","BAU","Car","ICEV-G","E10",2038,0.0194642237479069
"Absolute fuel consumption improvement","L/100km","BAU","Car","ICEV-G","E10",2039,0.0192715724096302
"Absolute fuel consumption improvement","L/100km","BAU","Car","ICEV-G","E10",2040,0.0198164630760943
"Absolute fuel consumption improvement","L/100km","BAU","Car","ICEV-G","E10",2041,0.0195004247542166
"Absolute fuel consumption improvement","L/100km","BAU","Car","ICEV-G","E10",2042,0.0198499350356073
"Absolute fuel consumption improvement","L/100km","BAU","Car","ICEV-G","E10",2043,0.0202110347647809
"Absolute fuel consumption improvement","L/100km","BAU","Car","ICEV-G","E10",2044,0.0200385252338262
"Absolute fuel consumption improvement","L/100km","BAU","Car","ICEV-G","E10",2045,0.020609728499575
"Absolute fuel consumption improvement","L/100km","BAU","Car","ICEV-G","E10",2046,0.0210757895260533
"Absolute fuel consumption improvement","L/100km","BAU","Car","ICEV-G","E10",2047,0.0209069035641645
"Absolute fuel consumption improvement","L/100km","BAU","Car","ICEV-G","E10",2048,0.0210841948296848
"Absolute fuel consumption improvement","L/100km","BAU","Car","ICEV-G","E10",2049,0.0214926193181398
"Absolute fuel consumption improvement","L/100km","BAU","Car","ICEV-G","E10",2050,0.0218228051052866
"Absolute fuel consumption improvement","L/100km","BAU","Light truck","ICEV-G","E10",2016,0
"Absolute fuel consumption improvement","L/100km","BAU","Light truck","ICEV-G","E10",2017,-0.13674397459316
"Absolute fuel consumption improvement","L/100km","BAU","Light truck","ICEV-G","E10",2018,-0.179409377918551
"Absolute fuel consumption improvement","L/100km","BAU","Light truck","ICEV-G","E10",2019,-0.157282303995695
"Absolute fuel consumption improvement","L/100km","BAU","Light truck","ICEV-G","E10",2020,-0.283832918154836
"Absolute fuel consumption improvement","L/100km","BAU","Light truck","ICEV-G","E10",2021,-0.425632360107995
"Absolute fuel consumption improvement","L/100km","BAU","Light truck","ICEV-G","E10",2022,-0.315673800687952
"Absolute fuel consumption improvement","L/100km","BAU","Light truck","ICEV-G","E10",2023,-0.196369671748497
"Absolute fuel consumption improvement","L/100km","BAU","Light truck","ICEV-G","E10",2024,-0.409770667632761
"Absolute fuel consumption improvement","L/100km","BAU","Light truck","ICEV-G","E10",2025,-0.280024254726045
"Absolute fuel consumption improvement","L/100km","BAU","Light truck","ICEV-G","E10",2026,0.00509480670933967
"Absolute fuel consumption improvement","L/100km","BAU","Light truck","ICEV-G","E10",2027,0.00191823003235307
"Absolute fuel consumption improvement","L/100km","BAU","Light truck","ICEV-G","E10",2028,0.00512177481128263
"Absolute fuel consumption improvement","L/100km","BAU","Light truck","ICEV-G","E10",2029,0.00544160209434309
"Absolute fuel consumption improvement","L/100km","BAU","Light truck","ICEV-G","E10",2030,0.00530897516091146
"Absolute fuel consumption improvement","L/100km","BAU","Light truck","ICEV-G","E10",2031,0.0153748751014698
"Absolute fuel consumption improvement","L/100km","BAU","Light truck","ICEV-G","E10",2032,0.0184247858881876
"Absolute fuel consumption improvement","L/100km","BAU","Light truck","ICEV-G","E10",2033,0.0191268913163574
